theta,sd,y,open_num,cots1,cost2,costt
1.25,4,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1037.0882890891285,1937.0882890891285
2.0,0,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1270.922798026359,2170.922798026359
2.0,1,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1038.5068552940509,1938.5068552940509
2.0,2,"[1.0, 1.0, 1.0, -0.0]",3.0,900.0,945.1532955736977,1845.1532955736977
2.0,3,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1065.157024045179,1965.157024045179
2.0,4,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1069.9557376457185,1969.9557376457185
2.75,0,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1304.0855378154488,2204.085537815449
2.75,1,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1071.2639211037947,1971.2639211037947
2.75,2,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,977.910361383442,1877.910361383442
2.75,3,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1097.9140898549226,1997.9140898549226
2.75,4,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1102.7226992705487,2002.7226992705487
3.5,0,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1337.0978296039616,2237.0978296039616
3.5,1,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1104.0209869135388,2004.0209869135388
3.5,2,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1010.6674271931859,1910.6674271931859
3.5,3,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1130.6711556646667,2030.6711556646667
3.5,4,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1135.4797650802927,2035.4797650802927
4.25,0,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1369.9655510290322,2269.965551029032
4.25,1,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1136.7780527232824,2036.7780527232824
4.25,2,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1043.4244930029297,1943.4244930029297
4.25,3,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1163.4282214744103,2063.4282214744103
4.25,4,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1168.2368308900363,2068.2368308900363
5.0,0,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1402.7391737543626,2302.7391737543626
5.0,1,"[1.0, 1.0, 1.0, -0.0]",3.0,900.0,1169.5351185330255,2069.5351185330255
5.0,2,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1076.1815588126738,1976.1815588126738
5.0,3,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1196.1852872841541,2096.185287284154
5.0,4,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1200.9938966997802,2100.99389669978
5.75,0,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1435.4962395641064,2335.4962395641064
5.75,1,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1202.2921843427698,2102.29218434277
5.75,2,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1108.9386246224174,2008.9386246224174
5.75,3,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1228.942353093898,2128.942353093898
